method,alpha,N,trial,time_ms,comparisons
Insertion-based,8,524288,14,42.4038,1981293
Insertion-based,8,524288,15,46.5314,1982519
Insertion-based,8,524288,16,40.6586,1982533
Insertion-based,8,524288,17,40.2475,1982437
Insertion-based,8,524288,18,39.8462,1981788
Insertion-based,8,524288,19,40.0204,1975923
Insertion-based,8,524288,20,39.1372,1981843
Insertion-based,8,1048576,1,86.5191,4167770
Insertion-based,8,1048576,2,89.8163,4174026
Insertion-based,8,1048576,3,81.4338,4174015
Insertion-based,8,1048576,4,83.9478,4173364
Insertion-based,8,1048576,5,83.7571,4171230
Insertion-based,8,1048576,6,80.3665,4172375
Insertion-based,8,1048576,7,82.9877,4175144
Insertion-based,8,1048576,8,81.2514,4175082
Insertion-based,8,1048576,9,80.7601,4176683
Insertion-based,8,1048576,10,85.8577,4173759
Insertion-based,8,1048576,11,82.6194,4169588
Insertion-based,8,1048576,12,81.6886,4169852
Insertion-based,8,1048576,13,84.5703,4173584
Insertion-based,8,1048576,14,83.0431,4170775
Insertion-based,8,1048576,15,83.6151,4174620
Insertion-based,8,1048576,16,82.6224,4172803
Insertion-based,8,1048576,17,80.7262,4172042
Insertion-based,8,1048576,18,83.424,4174815
Insertion-based,8,1048576,19,80.0642,4176308
Insertion-based,8,1048576,20,84.136,4170433
Insertion-based,64,4096,1,0.0226,1138
Insertion-based,64,4096,2,0.0219,1145
Insertion-based,64,4096,3,0.0215,1177
Insertion-based,64,4096,4,0.0211,1146
Insertion-based,64,4096,5,0.0214,1151
Insertion-based,64,4096,6,0.0224,1127
Insertion-based,64,4096,7,0.0218,1186
Insertion-based,64,4096,8,0.0209,1160
Insertion-based,64,4096,9,0.0212,1145
Insertion-based,64,4096,10,0.0214,1171
Insertion-based,64,4096,11,0.0304,1157
Insertion-based,64,4096,12,0.0217,1155
Insertion-based,64,4096,13,0.0207,1135
Insertion-based,64,4096,14,0.0223,1146
Insertion-based,64,4096,15,0.0286,1154
Insertion-based,64,4096,16,0.0221,1145
Insertion-based,64,4096,17,0.0215,1181
Insertion-based,64,4096,18,0.0214,1169
Insertion-based,64,4096,19,0.0213,1149
Insertion-based,64,4096,20,0.0212,1148
Insertion-based,64,8192,1,0.0457,2481
Insertion-based,64,8192,2,0.0514,2481
Insertion-based,64,8192,3,0.0476,2477
Insertion-based,64,8192,4,0.045,2480
Insertion-based,64,8192,5,0.0453,2531
Insertion-based,64,8192,6,0.0541,2490
Insertion-based,64,8192,7,0.0448,2494
Insertion-based,64,8192,8,0.0489,2531
Insertion-based,64,8192,9,0.045,2493
Insertion-based,64,8192,10,0.0491,2532
Insertion-based,64,8192,11,0.0451,2507
Insertion-based,64,8192,12,0.0453,2485
Insertion-based,64,8192,13,0.0453,2495
Insertion-based,64,8192,14,0.0456,2483
Insertion-based,64,8192,15,0.0705,2489
Insertion-based,64,8192,16,0.0466,2492
Insertion-based,64,8192,17,0.0449,2448
Insertion-based,64,8192,18,0.0452,2477
Insertion-based,64,8192,19,0.0461,2463
Insertion-based,64,8192,20,0.0465,2512
Insertion-based,64,16384,1,0.2969,5381
Insertion-based,64,16384,2,0.1498,5372
Insertion-based,64,16384,3,0.103,5433
Insertion-based,64,16384,4,0.0995,5433
Insertion-based,64,16384,5,0.0972,5424
Insertion-based,64,16384,6,0.0965,5376
Insertion-based,64,16384,7,0.1028,5344
Insertion-based,64,16384,8,0.0997,5324
Insertion-based,64,16384,9,0.1324,5427
Insertion-based,64,16384,10,0.0981,5414
Insertion-based,64,16384,11,0.1235,5358
Insertion-based,64,16384,12,0.099,5428
Insertion-based,64,16384,13,0.0994,5361
Insertion-based,64,16384,14,0.0935,5342
Insertion-based,64,16384,15,0.2048,5381
Insertion-based,64,16384,16,0.1065,5403
Insertion-based,64,16384,17,0.1103,5367
Insertion-based,64,16384,18,0.1121,5436
Insertion-based,64,16384,19,0.1003,5381
Insertion-based,64,16384,20,0.101,5372
Insertion-based,64,32768,1,0.6483,11463
Insertion-based,64,32768,2,0.2498,11466
Insertion-based,64,32768,3,0.262,11541
Insertion-based,64,32768,4,0.3504,11531
Insertion-based,64,32768,5,0.2546,11495
Insertion-based,64,32768,6,0.231,11561
Insertion-based,64,32768,7,0.2543,11522
Insertion-based,64,32768,8,0.248,11525
Insertion-based,64,32768,9,0.2576,11536
Insertion-based,64,32768,10,0.3221,11504
Insertion-based,64,32768,11,0.3437,11514
Insertion-based,64,32768,12,0.3058,11597
Insertion-based,64,32768,13,0.2646,11528
Insertion-based,64,32768,14,0.2809,11408
Insertion-based,64,32768,15,0.3153,11550
Insertion-based,64,32768,16,0.3527,11545
Insertion-based,64,32768,17,0.3601,11440
Insertion-based,64,32768,18,0.3136,11587
Insertion-based,64,32768,19,0.4547,11498
Insertion-based,64,32768,20,0.2504,11467
Insertion-based,64,65536,1,0.6623,24660
Insertion-based,64,65536,2,0.626,24568
Insertion-based,64,65536,3,0.6429,24666
Insertion-based,64,65536,4,0.6584,24770
Insertion-based,64,65536,5,0.6686,24642
Insertion-based,64,65536,6,0.7337,24517
Insertion-based,64,65536,7,0.6404,24570
Insertion-based,64,65536,8,0.6564,24648
Insertion-based,64,65536,9,0.6467,24656
Insertion-based,64,65536,10,0.6725,24653
Insertion-based,64,65536,11,1.0395,24505
Insertion-based,64,65536,12,0.6385,24553
Insertion-based,64,65536,13,0.6516,24647
Insertion-based,64,65536,14,1.2527,24697
Insertion-based,64,65536,15,0.6764,24605
Insertion-based,64,65536,16,0.6493,24707
Insertion-based,64,65536,17,0.8043,24695
Insertion-based,64,65536,18,0.6425,24677
Insertion-based,64,65536,19,0.6355,24617
Insertion-based,64,65536,20,0.6362,24555
Insertion-based,64,131072,1,1.8818,52374
Insertion-based,64,131072,2,1.5469,52230
Insertion-based,64,131072,3,1.6247,52263
Insertion-based,64,131072,4,1.6711,52417
Insertion-based,64,131072,5,1.6123,52143
Insertion-based,64,131072,6,1.5516,52332
Insertion-based,64,131072,7,1.542,52349
Insertion-based,64,131072,8,1.4992,52220
Insertion-based,64,131072,9,1.5209,52401
Insertion-based,64,131072,10,1.825,52246
Insertion-based,64,131072,11,1.4515,52162
Insertion-based,64,131072,12,1.5038,52249
Insertion-based,64,131072,13,1.4624,52319
Insertion-based,64,131072,14,1.4938,52243
Insertion-based,64,131072,15,1.339,52228
Insertion-based,64,131072,16,1.3891,52259
Insertion-based,64,131072,17,1.3653,52441
